,Unnamed: 0,Unnamed: 0.1,Site Num,Date Local,NO2 Units,NO2 MEAN
401,727,4521,5005,2013-05-29,Parts per billion,5.227273
402,728,4525,5005,2013-05-30,Parts per billion,7.590909
403,729,4529,5005,2013-05-31,Parts per billion,3.195238
127,453,2697,1103,2013-06-01,Parts per billion,17.077273
405,731,4537,5005,2013-06-02,Parts per billion,5.218182
129,455,2713,1103,2013-06-03,Parts per billion,10.318182
130,456,2721,1103,2013-06-04,Parts per billion,11.75
131,457,2729,1103,2013-06-05,Parts per billion,9.368421
409,735,4553,5005,2013-06-06,Parts per billion,2.5705880000000003
133,459,2745,1103,2013-06-07,Parts per billion,13.60625
134,460,2753,1103,2013-06-08,Parts per billion,13.73913
135,461,2761,1103,2013-06-09,Parts per billion,9.613043
136,462,2769,1103,2013-06-10,Parts per billion,11.517391
137,463,2777,1103,2013-06-11,Parts per billion,16.2
410,736,4557,5005,2013-06-12,Parts per billion,1.685
139,465,2793,1103,2013-06-13,Parts per billion,17.104348
140,466,2801,1103,2013-06-14,Parts per billion,17.743478
141,467,2809,1103,2013-06-15,Parts per billion,11.830435
142,468,2817,1103,2013-06-16,Parts per billion,9.43913
415,741,4577,5005,2013-06-17,Parts per billion,7.672727
144,470,2833,1103,2013-06-18,Parts per billion,18.886364
145,471,2841,1103,2013-06-19,Parts per billion,17.095454999999998
418,744,4589,5005,2013-06-20,Parts per billion,5.771429
147,473,2857,1103,2013-06-21,Parts per billion,20.482609
420,746,4597,5005,2013-06-22,Parts per billion,2.413636
421,747,4601,5005,2013-06-23,Parts per billion,1.968182
422,748,4605,5005,2013-06-24,Parts per billion,2.186364
151,477,2889,1103,2013-06-25,Parts per billion,14.83
424,750,4613,5005,2013-06-26,Parts per billion,2.663158
425,751,4617,5005,2013-06-27,Parts per billion,4.609091
426,752,4621,5005,2013-06-28,Parts per billion,5.061538
155,481,2921,1103,2013-06-29,Parts per billion,26.66087000000001
428,754,4629,5005,2013-06-30,Parts per billion,7.554545
157,483,2937,1103,2013-07-01,Parts per billion,29.089474
158,484,2945,1103,2013-07-02,Parts per billion,25.014286
159,485,2953,1103,2013-07-03,Parts per billion,18.39
160,486,2961,1103,2013-07-04,Parts per billion,12.659091
433,759,4649,5005,2013-07-05,Parts per billion,5.0
434,760,4653,5005,2013-07-06,Parts per billion,5.25
163,489,2985,1103,2013-07-07,Parts per billion,10.545455
436,762,4661,5005,2013-07-08,Parts per billion,4.095455
437,763,4665,5005,2013-07-09,Parts per billion,5.425
438,764,4669,5005,2013-07-10,Parts per billion,3.893333
167,493,3017,1103,2013-07-11,Parts per billion,28.009091
168,494,3025,1103,2013-07-12,Parts per billion,21.34
169,495,3033,1103,2013-07-13,Parts per billion,18.890909
170,496,3041,1103,2013-07-14,Parts per billion,18.572727
171,497,3049,1103,2013-07-15,Parts per billion,17.314286
172,498,3057,1103,2013-07-16,Parts per billion,17.057143
173,499,3065,1103,2013-07-17,Parts per billion,23.8
174,500,3073,1103,2013-07-18,Parts per billion,23.561111
175,501,3081,1103,2013-07-19,Parts per billion,22.190909
176,502,3089,1103,2013-07-20,Parts per billion,12.422727
177,503,3097,1103,2013-07-21,Parts per billion,13.736364000000002
178,504,3105,1103,2013-07-22,Parts per billion,12.536364
451,777,4721,5005,2013-07-23,Parts per billion,1.45
452,778,4725,5005,2013-07-24,Parts per billion,2.726087
453,779,4729,5005,2013-07-25,Parts per billion,2.431818
182,508,3133,1103,2013-07-26,Parts per billion,19.8
455,781,4737,5005,2013-07-27,Parts per billion,2.234783
184,510,3149,1103,2013-07-28,Parts per billion,9.477273
185,511,3157,1103,2013-07-29,Parts per billion,16.927273
458,784,4749,5005,2013-07-30,Parts per billion,2.15
459,785,4753,5005,2013-07-31,Parts per billion,2.0
188,514,3181,1103,2013-08-01,Parts per billion,16.44
189,515,3189,1103,2013-08-02,Parts per billion,15.922726999999998
190,516,3197,1103,2013-08-03,Parts per billion,13.773913
191,517,3205,1103,2013-08-04,Parts per billion,9.134783
464,790,4773,5005,2013-08-05,Parts per billion,3.343478
193,519,3217,1103,2013-08-06,Parts per billion,14.118182
466,792,4781,5005,2013-08-07,Parts per billion,3.96087
195,521,3229,1103,2013-08-08,Parts per billion,15.226087
468,794,4789,5005,2013-08-09,Parts per billion,4.286364
469,795,4793,5005,2013-08-10,Parts per billion,4.091304
470,796,4797,5005,2013-08-11,Parts per billion,5.930435
471,797,4801,5005,2013-08-12,Parts per billion,5.73913
472,798,4805,5005,2013-08-13,Parts per billion,6.345455
473,799,4809,5005,2013-08-14,Parts per billion,9.386957
474,800,4813,5005,2013-08-15,Parts per billion,8.717391000000001
475,801,4817,5005,2013-08-16,Parts per billion,4.290909
476,802,4821,5005,2013-08-17,Parts per billion,3.656522
205,531,3305,1103,2013-08-18,Parts per billion,16.1
478,804,4829,5005,2013-08-19,Parts per billion,7.16087
207,533,3321,1103,2013-08-20,Parts per billion,11.846667
480,806,4837,5005,2013-08-21,Parts per billion,5.808696
481,807,4841,5005,2013-08-22,Parts per billion,7.573913
482,808,4845,5005,2013-08-23,Parts per billion,6.882609
211,537,3353,1103,2013-08-24,Parts per billion,18.863636
212,538,3361,1103,2013-08-25,Parts per billion,21.170833
213,539,3369,1103,2013-08-26,Parts per billion,25.791667
214,540,3377,1103,2013-08-27,Parts per billion,22.2875
215,541,3385,1103,2013-08-28,Parts per billion,25.791667
216,542,3393,1103,2013-08-29,Parts per billion,28.0875
217,543,3401,1103,2013-08-30,Parts per billion,24.716667
218,544,3409,1103,2013-08-31,Parts per billion,19.416667
491,817,4881,5005,2013-09-01,Parts per billion,1.782609
492,818,4885,5005,2013-09-02,Parts per billion,3.682609
221,547,3433,1103,2013-09-03,Parts per billion,19.829167
222,548,3441,1103,2013-09-04,Parts per billion,24.720833
223,549,3449,1103,2013-09-05,Parts per billion,31.572727
